route_id,route_short_name,route_long_name,route_type
5106  03,5106,Bandeirantes / Bh Shopping (Desvio Feira-Av.Afonso Pena),3
5106  04,5106,Bandeirantes / Bh Shopping (Nao Atendimento Ao Clube Bh),3
5106  05,5106,Bandeirantes / Bh Shopping (Nao At.Clube Bh/Desvio-Feira),3
5106  06,5106,Bandeirantes / Bh Shopping (Estacao Ufmg/Savassi),3
511   01,511,Estacao Ponto Sao Jose / Jardim Alvorada (Principal),3
512   01,512,Circuito Pampulha (Principal),3
52    01,52,Estacao Pampulha / Av. Antonio Carlos (Principal),3
5201  03,5201,Dona Clara/Buritis (Principal),3
5201  09,5201,Dona Clara/Buritis (Noturno),3
5201  10,5201,Dona Clara/Buritis (Partidas Est. Sao Francisco),3
5250  01,5250,Estacao Pampulha / Betania (Principal),3
5250  02,5250,Estacao Pampulha / Betania (Noturno),3
5250  03,5250,Estacao Pampulha / Betania (Via Area Central),3
5250  04,5250,Estacao Pampulha / Betania (Direta/Retorno Cefet I),3
533   01,533,Castelo / Shopping Del Rey (Principal),3
535   01,535,Xangrila Via Itamarati / Shopping Del Rey (Principal),3
5401  01,5401,Sao Luis/Dom Cabral (Principal),3
5401  05,5401,Sao Luis/Dom Cabral (Via Al. Do Ipe Branco),3
5401  06,5401,Sao Luis/Dom Cabral (Noturno),3
5502C 01,5502C,Pousada Santo Antonio (Principal),3
5502C 06,5502C,Pousada Santo Antonio (Atendimento Ao Bairro Vitoria-Via Pousada (Manha)),3
5502C 07,5502C,Pousada Santo Antonio (Atendimento Ao Bairro Vitoria-Via Pousada (Tarde)),3
5502C 08,5502C,Pousada Santo Antonio (Retorno Expresso),3
5503A 02,5503A,Goiania A (Principal),3
5503A 03,5503A,Goiania A (Noturno),3
5503A 04,5503A,Goiania A (Via Vila S. Jorge E Est.Jose Candido),3
5503A 06,5503A,Goiania A (Via Vila Sao Jorge),3
5503A 07,5503A,Goiania A (Via Est. Jose Candido),3
5503A 08,5503A,Goiania A (Retorno No Centro),3
5503B 02,5503B,Goiania B (Principal),3
5506A 01,5506A,Ribeiro De Abreu (Principal),3
5506A 02,5506A,Ribeiro De Abreu (Retorno Expresso (Portas Fechadas)),3
5550  01,5550,Estacao Pampulha / Estacao Ponto Sao Jose (Principal),3
6030  01,6030,Cidade Administrativa/Savassi Via Hospitais (Principal),3
6030  02,6030,Cidade Administrativa/Savassi Via Hospitais (Via Andradas),3
6031  01,6031,Cidade Administrativa/Centro (Principal),3
607   01,607,Estacao Vilarinho / Esplendor (Principal),3
608   01,608,Estacao Venda Nova / Nova Pampulha (Principal),3
608   04,608,Estacao Venda Nova / Nova Pampulha (Via Escola Maria Andrade),3
609   01,609,Serra Verde/Santa Monica (Principal),3
609   02,609,Serra Verde/Santa Monica (Cid.Admin-Sentido Serra Verde),3
609   03,609,Serra Verde/Santa Monica (Cid.Admin-Sentido Sta Monica),3
61    01,61,Estacao Venda Nova/Centro-Direta (Principal),3
614   01,614,Estacao Pampulha / Ceu Azul A (Principal),3
614   02,614,Estacao Pampulha / Ceu Azul A (Noturno),3
614   03,614,Estacao Pampulha / Ceu Azul A (Partidas-Av. O.  Brasil Junior),3
614   04,614,Estacao Pampulha / Ceu Azul A (Partidas-Rua Jose Rocha Paixao),3
614   05,614,Estacao Pampulha / Ceu Azul A (Desvio Festa De Sao Lazaro),3
615   01,615,Estacao Pampulha / Ceu Azul B (Principal),3
615   02,615,Estacao Pampulha / Ceu Azul B (Atendimento Nos Picos),3
616   01,616,Estacao Pampulha / Ceu Azul C (Principal),3
616   02,616,Estacao Pampulha / Ceu Azul C (Noturno),3
617   01,617,Estacao Pampulha / Piratininga Via Rio Branco (Principal),3
617   02,617,Estacao Pampulha / Piratininga Via Rio Branco (Noturno),3
617   03,617,Estacao Pampulha / Piratininga Via Rio Branco (Atendimento Nos Picos),3
618   01,618,Estacao Pampulha/Rio Branco Via Jardim Leblon (Principal),3
618   02,618,Estacao Pampulha/Rio Branco Via Jardim Leblon (Noturno),3
618   03,618,Estacao Pampulha/Rio Branco Via Jardim Leblon (Partidas Do Jardim Leblon),3
619   01,619,Estacao Pampulha / Santa Monica Via Santa Branca (Principal),3
619   02,619,Estacao Pampulha / Santa Monica Via Santa Branca (Noturno),3
619   03,619,Estacao Pampulha / Santa Monica Via Santa Branca (Via R. Visconde De Taunay),3
62    01,62,Estacao Venda Nova/Savassi Via Hospitais (Principal),3
62    03,62,Estacao Venda Nova/Savassi Via Hospitais (Parque Das Mangabeiras),3
62    07,62,Estacao Venda Nova/Savassi Via Hospitais (Noturno),3
62    12,62,Estacao Venda Nova/Savassi Via Hospitais (Via Estacao Vilarinho),3
62    13,62,Estacao Venda Nova/Savassi Via Hospitais (Direta),3
62    14,62,Estacao Venda Nova/Savassi Via Hospitais (Est. V. Nova/Savassi-Direta),3
620   01,620,Estacao Pampulha / Santa Monica Via Santa Amelia (Principal),3
621   01,621,Estacao Venda Nova / Lagoa (Principal),3
621   05,621,Estacao Venda Nova / Lagoa (Partidas-Rua J. Sabino Maciel),3
622   01,622,Estacao Venda Nova / Lagoinha (Principal),3
622   07,622,Estacao Venda Nova / Lagoinha (Noturno),3
623   01,623,Estacao Venda Nova / Vila Santa Branca (Principal),3
623   02,623,Estacao Venda Nova / Vila Santa Branca (Noturno),3
624   01,624,Estacao Venda Nova / Maria Helena A (Principal),3
624   02,624,Estacao Venda Nova / Maria Helena A (Noturno),3
625   01,625,Estacao Venda Nova / Maria Helena B (Principal),3
625   02,625,Estacao Venda Nova / Maria Helena B (Noturno),3
626   02,626,Estacao Venda Nova/Esplendor Via Nova America (Noturno),3
626   05,626,Estacao Venda Nova/Esplendor Via Nova America (Partidas Da Est.Venda Nova),3
626   06,626,Estacao Venda Nova/Esplendor Via Nova America (Principal),3
627   02,627,Estacao Venda Nova/Mantiqueira (Noturno),3
627   06,627,Estacao Venda Nova/Mantiqueira (Principal),3
63    01,63,Estacao Venda Nova/Lagoinha (Principal),3
63    05,63,Estacao Venda Nova/Lagoinha (Centro Via Est.Vilarinho),3
63    06,63,Estacao Venda Nova/Lagoinha (Noturno),3
630   01,630,Estacao Vilarinho/Serra Verde Via Av.Salamanca (Principal),3
631   01,631,Estacao Vilarinho / Serra Verde Via Minas Caixa (Principal),3
631   02,631,Estacao Vilarinho / Serra Verde Via Minas Caixa (Atendimento Ao Canaa),3
633   01,633,Estacao Vilarinho / Jardim Dos Comerciarios (Principal),3
633   02,633,Estacao Vilarinho / Jardim Dos Comerciarios (Noturno),3
634   01,634,Est. Vilarinho/Nova York Via Jd.Dos Comerciarios (Principal),3
634   04,634,Est. Vilarinho/Nova York Via Jd.Dos Comerciarios (Atendimento A Antena),3
634   05,634,Est. Vilarinho/Nova York Via Jd.Dos Comerciarios (Via Estacao Venda Nova),3
635   02,635,Estacao Vilarinho / Jardim Dos Comerciarios C (Principal),3
6350  01,6350,Est.Vilarinho/Est.Barreiro Via Anel Rodoviario (Principal),3
636   02,636,Estacao Vilarinho / Jardim Europa (Principal),3
637   01,637,Estacao Vilarinho / Canaa Via Serra Verde (Principal),3
637   04,637,Estacao Vilarinho / Canaa Via Serra Verde (Est.Vilarinho/Canaa Via Mg-010),3
637   07,637,Estacao Vilarinho / Canaa Via Serra Verde (Est. Vilarinho/R.Luanda-Canaa),3
638   01,638,Estacao Vilarinho/Minas Caixa (Principal),3
639   01,639,Braunas / Shopping Del Rey (Principal),3
64    01,64,Estacao Venda Nova/Assembleia Via Carlos Luz (Principal),3
64    03,64,Estacao Venda Nova/Assembleia Via Carlos Luz (Retorno Av.Dom Pedro II),3
64    09,64,Estacao Venda Nova/Assembleia Via Carlos Luz (Via Estacao Vilarinho),3
64    10,64,Estacao Venda Nova/Assembleia Via Carlos Luz (Zoologico),3
640   01,640,Estacao Venda Nova / Jardim Leblon Via Rio Branco (Principal),3
641   01,641,Estacao Vilarinho/Serra Verde (Principal),3
642   01,642,Est. Venda Nova/Est. Vilarinho/Cid.Administrativa (Principal),3
642   02,642,Est. Venda Nova/Est. Vilarinho/Cid.Administrativa (Est. Venda Nova/Est. Vilarinho),3
642   03,642,Est. Venda Nova/Est. Vilarinho/Cid.Administrativa (Partidas Da Est. Venda Nova),3
643   01,643,Estacao Pampulha / Copacabana Via Monte Carmelo (Principal),3
644   01,644,Estacao Pampulha / Sao Joao Batista (Principal),3
644   02,644,Estacao Pampulha / Sao Joao Batista (Noturno),3
644   03,644,Estacao Pampulha / Sao Joao Batista (Partidas-Pca Pedro A. Moreira),3
645   01,645,Est. Pampulha / Santa Monica Via Jardim Atlantico (Principal),3
65    01,65,Estacao Vilarinho/Centro Via Antonio Carlos-Direta (Principal),3
66    01,66,Estacao Vilarinho/Centro/Hospitais Via C.Machado (Principal),3
66    07,66,Estacao Vilarinho/Centro/Hospitais Via C.Machado (Direta),3
67    01,67,Estacao Vilarinho/Santo Agostinho Via Carlos Luz (Principal),3
68    01,68,Estacao Vilarinho / Lagoinha (Principal),3
702   01,702,Estacao Sao Gabriel / Xodo-Marize (Principal),3
703   01,703,Estacao Sao Gabriel / Guarani A (Principal),3
705   01,705,Estacao Sao Gabriel / Sao Tomaz (Principal),3
705   06,705,Estacao Sao Gabriel / Sao Tomaz (Centro Esp. Médica-Unifenas),3
